NO.,Continent,Country,Launch_Site_name,Launch_site_link,Latitude,Longitude,Opearating_years,Operating_status
70,Europe,United Kingdom,South Uist,https://en.wikipedia.org/wiki/South_Uist,57.33,-7.33,"1959, 2015, 2022",FALSE
71,North America,Canada,Churchill Rocket Research Range,https://en.wikipedia.org/wiki/Churchill_Rocket_Research_Range,58.7343,-93.8203,1954-1998,FALSE
72,North America,Canada,Resolute Bay,https://en.wikipedia.org/wiki/Resolute_Bay,74.687,-94.8962,1966-1971,FALSE
73,North America,Canada,"Hall Beach, Nunavut",https://en.wikipedia.org/wiki/Sanirajak,68.77607,-81.24346,1971-1971,FALSE
74,North America,Canada,Southend,"https://en.wikipedia.org/wiki/Southend,_Saskatchewan",56.2,-103.14,1980,FALSE
75,North America,Canada,Maritime Spaceport,https://en.wikipedia.org/wiki/Maritime_Launch_Services,45.30688,-60.98767,2019-,TRUE
76,North America,Greenland,Thule Air Base,https://en.wikipedia.org/wiki/Thule_Air_Base,76.424,-68.2936,1964-1980,FALSE
77,North America,United States,Clark University Physics Laboratory,https://en.wikipedia.org/wiki/Clark_University,42.250977,-71.823169,1914-1920s,FALSE
78,North America,United States,Goddard Test Site,https://en.wikipedia.org/wiki/Goddard_Rocket_Launching_Site,42.21882,-71.81194,1925-1930,FALSE
79,North America,United States,Eden Valley Test Site,"https://en.wikipedia.org/wiki/Robert_H._Goddard#Roswell,_New_Mexico",33.626,-104.5,1930-1941,FALSE
80,North America,United States,Wallops Flight Facility,https://en.wikipedia.org/wiki/Wallops_Flight_Facility,37.84621,-75.47938,1945-,TRUE
81,North America,United States,White Sands Missile Range,https://en.wikipedia.org/wiki/White_Sands_Missile_Range,32.5646,-106.35908,1945-,TRUE
82,North America,United States,Nevada Test and Training Range,https://en.wikipedia.org/wiki/Nevada_Test_and_Training_Range,36.7715,-116.11374,1946-1960s,FALSE
83,North America,United States,Poker Flat Research Range,https://en.wikipedia.org/wiki/Poker_Flat_Research_Range,65.12599,-147.47894,1949-,TRUE
84,North America,United States,Cape Canaveral Space Force Station,https://en.wikipedia.org/wiki/Cape_Canaveral_Space_Force_Station,28.46675,-80.55852,1949-,TRUE
85,North America,United States,Vandenberg Space Force Base,https://en.wikipedia.org/wiki/Vandenberg_Space_Force_Base,34.77204,-120.60124,1958-,TRUE
86,North America,United States,Kennedy Space Center,https://en.wikipedia.org/wiki/Kennedy_Space_Center,28.6082,-80.604,1962-,TRUE
87,North America,United States,Pacific Missile Range Facility,https://en.wikipedia.org/wiki/Pacific_Missile_Range_Facility,22.02278,-159.785,1963-,TRUE
88,North America,United States,Keweenaw,https://en.wikipedia.org/wiki/Keweenaw_(Rocket_launch_site),47.4298,-87.71443,1964-1971,FALSE
89,North America,United States,Pacific Spaceport Complex,https://en.wikipedia.org/wiki/Pacific_Spaceport_Complex_-_Alaska,57.43533,-152.33931,1991-,TRUE
90,North America,United States,Mid-Atlantic Regional Spaceport,https://en.wikipedia.org/wiki/Mid-Atlantic_Regional_Spaceport,37.833378,-75.483284,1995-,TRUE
91,North America,United States,Mojave Air and Space Port,https://en.wikipedia.org/wiki/Mojave_Air_and_Space_Port,35.0591,-118.1488,2003-,TRUE
92,North America,United States,Spaceport America,https://en.wikipedia.org/wiki/Spaceport_America,32.88943,-106.99945,2006-,TRUE
93,North America,United States,Corn Ranch,https://en.wikipedia.org/wiki/Corn_Ranch,31.2524,-104.4532,2006-,TRUE
94,North America,United States,Spaceport Camden,https://en.wikipedia.org/wiki/Spaceport_Camden,30.5539,-81.3053,2016-2019,FALSE
95,North America,United States,SpaceX Starbase Spaceport,https://en.wikipedia.org/wiki/SpaceX_Starbase,25.996,-97.154,2018-,TRUE
96,North America,United States,Maine Spaceport Complex,https://en.wikipedia.org/wiki/BluShift_Aerospace,44.4444,-67.6,2020-,TRUE
97,South America,Argentina,Pampa de Achala,https://en.wikipedia.org/wiki/Pampa_de_Achala,-31.5833,-64.8333,1961-1962,FALSE
98,South America,Argentina,CELPA,https://en.wikipedia.org/wiki/CELPA,-30.12737,-66.34082,"1962-1991, 2010-",TRUE
99,South America,Argentina,Las Palmas,https://en.wikipedia.org/wiki/Las_Palmas_(Argentina),-27.09531,-58.75352,1966-1966,FALSE
100,South America,Argentina,Tartagal,"https://en.wikipedia.org/wiki/Tartagal,_Salta",-22.76158,-63.82381,1966-1966,FALSE
101,South America,Argentina,Mar Chiquita,https://en.wikipedia.org/wiki/Mar_Chiquita_(Buenos_Aires),-37.72427,-57.40512,1968-1972,FALSE
102,South America,Argentina,Villa Reynolds,https://en.wikipedia.org/wiki/Villa_Reynolds,-33.7246,-65.3773,1973-1973,FALSE
103,South America,Argentina,Serrezuela,https://en.wikipedia.org/w/index.php?title=Serrezuela&action=edit&redlink=1,-30.6333,-65.3833,2009,FALSE
104,South America,Argentina,Punta Indio,https://en.wikipedia.org/w/index.php?title=Punta_Indio&action=edit&redlink=1,-35.523889,-57.183889,2011-,TRUE
105,South America,Argentina,Puerto Belgrano,https://en.wikipedia.org/wiki/Puerto_Belgrano,-38.9628,-61.715,2014-,TRUE
106,South America,Brazil,Natal-Barreira do Inferno,https://en.wikipedia.org/wiki/Centro_de_Lan%C3%A7amento_da_Barreira_do_Inferno,-5.866,-35.383,1965-,TRUE
107,South America,Brazil,Praia do Cassino,https://en.wikipedia.org/wiki/Praia_do_Cassino,-32.08338,-52.16725,1966-1966,FALSE
108,South America,Brazil,Alcântara Launch Center,https://en.wikipedia.org/wiki/Alc%C3%A2ntara_Launch_Center,-2.316,-44.3676,1990-,TRUE
109,South America,French Guiana,Guiana Space Centre,https://en.wikipedia.org/wiki/Guiana_Space_Centre,5.23739,-52.7695,1968-,TRUE
110,South America,Peru,Chilca Launch Range,https://en.wikipedia.org/wiki/Chilca,-12.50477,-76.79849,1974-1983,FALSE
111,South America,Peru,"Chilca PLOB, Punta Lobos Range",https://en.wikipedia.org/wiki/Punta_Lobos,-12.5,-76.8,1983,FALSE
112,South America,Dutch Suriname,Coronie,https://en.wikipedia.org/wiki/Coronie,5.87241,-56.28908,1965-1965,FALSE
113,Oceania,Australia,Woomera Test Range,https://en.wikipedia.org/wiki/Woomera_Test_Range,-30.95875,136.50366,1950s-,TRUE
114,Oceania,Australia,Carnarvon,"https://en.wikipedia.org/wiki/Carnarvon,_Western_Australia",-24.48564,113.40866,1964-1965,FALSE
115,Oceania,Australia,Lancelin,https://en.wikipedia.org/wiki/Lancelin,-30.98309,115.31774,1974-1974,FALSE
116,Oceania,Australia,Koonibba Test Range,https://en.wikipedia.org/wiki/Koonibba_Test_Range,-31.885558,133.448686,2019-,TRUE
117,Oceania,Australia,Whalers Way Orbital Launch Complex,https://en.wikipedia.org/wiki/Whalers_Way_Orbital_Launch_Complex,-34.934,135.6523,2020-,TRUE
118,Oceania,Australia,Arnhem Space Centre,https://en.wikipedia.org/wiki/Arnhem_Space_Centre,-12.378021,136.821402,2021-,TRUE
119,Oceania,Marshall Islands,Reagan Test Site,https://en.wikipedia.org/wiki/Reagan_Test_Site,9.048167,167.743083,1950s-,TRUE
120,Oceania,New Zealand,Birdling's Flat,https://en.wikipedia.org/wiki/Birdling%27s_Flat,-43.817,172.683,1980s-,TRUE
121,Oceania,New Zealand,Great Mercury Island,https://en.wikipedia.org/wiki/Great_Mercury_Island,-36.35511,175.46006,2009,FALSE
122,Oceania,New Zealand,Mahia Peninsula,https://en.wikipedia.org/wiki/Mahia_Peninsula,-39.26044,177.86431,2017-,TRUE
123,In water,Denmark,MLP Sputnik,https://en.wikipedia.org/wiki/Copenhagen_Suborbitals,55.04917,15.60306,2010-,TRUE
